iter	Passed	Remaining
251	543	1613
252	545	1610
253	547	1607
254	549	1604
255	551	1601
256	553	1599
257	555	1596
258	556	1593
259	558	1590
260	560	1588
261	563	1587
262	566	1586
263	569	1586
264	571	1584
265	573	1581
266	575	1579
267	577	1576
268	579	1573
269	581	1572
270	583	1569
271	585	1566
272	587	1563
273	588	1560
274	590	1557
275	593	1555
276	596	1555
277	598	1553
278	599	1550
279	601	1547
280	603	1545
281	605	1542
282	607	1539
283	609	1536
284	611	1534
285	614	1533
286	616	1532
287	619	1530
288	621	1528
289	623	1526
290	625	1524
291	627	1522
292	629	1519
293	631	1516
294	633	1513
295	635	1511
296	637	1508
297	639	1506
298	641	1503
299	643	1500
300	645	1498
301	646	1495
302	649	1493
303	651	1491
304	653	1488
305	654	1485
306	656	1482
307	658	1479
308	660	1476
309	662	1474
310	664	1472
311	666	1469
312	668	1466
313	670	1464
314	671	1461
315	674	1459
316	676	1457
317	678	1455
318	680	1452
319	682	1450
320	684	1447
321	685	1444
322	687	1441
323	689	1438
324	691	1437
325	693	1434
326	695	1431
327	697	1428
328	699	1426
329	701	1423
330	703	1420
331	704	1418
332	707	1416
333	708	1413
334	710	1410
335	712	1408
336	714	1405
337	716	1403
338	718	1401
339	720	1398
340	722	1395
341	723	1391
342	724	1388
343	727	1386
344	729	1384
345	731	1381
346	732	1379
347	734	1376
348	736	1373
349	738	1371
350	740	1369
351	742	1366
352	744	1364
353	746	1362
354	748	1360
355	750	1358
356	752	1356
357	755	1354
358	757	1351
359	759	1349
360	760	1346
361	762	1344
362	764	1341
363	767	1340
364	769	1338
365	771	1337
366	773	1333
367	775	1331
368	777	1328
369	778	1326
370	780	1323
371	782	1321
372	784	1318
373	786	1316
374	788	1314
375	790	1311
376	792	1309
377	794	1306
378	795	1304
379	798	1302
380	800	1300
381	802	1297
382	804	1295
383	806	1293
384	807	1290
385	809	1288
386	811	1286
387	814	1285
388	816	1282
389	818	1280
390	820	1277
391	822	1275
392	824	1273
393	826	1270
394	828	1269
395	830	1266
396	832	1264
397	834	1262
398	836	1259
399	838	1257
400	839	1254
401	842	1253
402	844	1251
403	846	1248
404	848	1246
405	850	1244
406	852	1242
407	854	1240
408	857	1238
409	859	1236
410	861	1234
411	863	1232
412	865	1230
413	867	1228
414	870	1226
415	871	1224
416	873	1221
417	875	1219
418	877	1216
419	879	1214
420	881	1211
421	883	1209
422	885	1207
423	887	1205
424	889	1202
425	890	1200
426	892	1198
427	894	1195
428	897	1194
429	899	1191
430	901	1189
431	902	1187
432	904	1184
433	906	1182
434	908	1180
435	910	1178
436	912	1176
437	915	1174
438	916	1171
439	918	1169
440	921	1168
441	924	1166
442	926	1164
443	927	1162
444	929	1159
445	931	1157
446	933	1154
447	935	1152
448	937	1150
449	939	1148
450	941	1146
451	943	1144
452	945	1141
453	947	1139
454	949	1137
455	952	1135
456	954	1133
457	957	1133
458	959	1131
459	961	1129
460	964	1127
461	967	1126
462	969	1124
463	971	1122
464	973	1120
465	976	1118
466	978	1116
467	980	1114
468	982	1112
469	985	1111
470	987	1109
471	989	1107
472	991	1105
473	993	1102
474	996	1100
475	998	1099
476	1000	1097
477	1001	1094
478	1004	1092
479	1006	1090
480	1009	1088
481	1011	1086
482	1013	1084
483	1015	1083
484	1018	1081
485	1020	1079
486	1022	1077
487	1025	1075
488	1027	1073
489	1029	1071
490	1031	1069
491	1034	1067
492	1036	1065
493	1038	1063
494	1040	1061
495	1042	1059
496	1045	1057
497	1047	1055
498	1049	1053
499	1051	1051
500	1053	1048
501	1055	1046
502	1057	1044
503	1059	1042
504	1061	1040
505	1063	1038
506	1065	1036
507	1068	1034
508	1070	1032
509	1072	1030
510	1075	1028
511	1078	1027
512	1080	1025
513	1082	1023
514	1085	1022
515	1087	1020
516	1089	1018
517	1092	1016
518	1094	1014
519	1096	1012
520	1099	1010
521	1101	1008
522	1103	1006
523	1105	1004
524	1107	1002
525	1109	1000
526	1112	998
527	1114	996
528	1116	994
529	1118	992
530	1121	990
531	1123	988
532	1125	985
533	1127	984
534	1129	982
535	1132	980
536	1134	978
537	1136	976
538	1138	974
539	1141	972
540	1143	970
541	1145	968
542	1148	966
543	1150	964
544	1152	962
545	1156	961
546	1159	960
547	1161	957
548	1163	956
549	1166	954
550	1168	952
551	1170	950
552	1173	948
553	1176	947
554	1178	945
555	1181	943
556	1183	941
557	1187	940
558	1189	938
559	1191	936
560	1194	934
561	1197	933
562	1199	931
563	1201	929
564	1203	926
565	1206	924
566	1208	923
567	1211	921
568	1213	918
569	1215	916
570	1217	914
571	1219	912
572	1222	910
573	1224	908
574	1227	907
575	1229	905
576	1231	902
577	1233	900
578	1235	898
579	1238	896
580	1240	894
581	1242	892
582	1244	890
583	1247	888
584	1249	886
585	1251	883
586	1253	881
587	1255	879
588	1257	877
589	1259	875
590	1261	873
591	1263	870
592	1265	868
593	1267	866
594	1270	864
595	1272	862
596	1274	860
597	1276	858
598	1278	856
599	1280	853
600	1283	851
601	1285	849
602	1287	847
603	1289	845
604	1292	843
605	1294	841
606	1296	839
607	1298	837
608	1300	835
609	1303	833
610	1304	830
611	1306	828
612	1308	826
613	1310	823
614	1312	821
615	1314	819
616	1316	817
617	1318	814
618	1320	812
619	1321	810
620	1324	808
621	1325	805
622	1327	803
623	1329	801
624	1331	799
625	1333	796
626	1335	794
627	1337	792
628	1339	790
629	1342	788
630	1344	786
631	1346	784
632	1348	781
633	1350	779
634	1352	777
635	1354	775
636	1356	772
637	1358	770
638	1360	768
639	1362	766
640	1364	764
641	1366	761
642	1368	759
643	1369	757
644	1372	755
645	1373	752
646	1376	750
647	1378	748
648	1380	746
649	1382	744
650	1385	742
651	1387	740
652	1389	738
653	1391	736
654	1393	733
655	1395	731
656	1397	729
657	1399	727
658	1401	725
659	1403	722
660	1405	720
661	1407	718
662	1408	716
663	1410	713
664	1413	711
665	1415	709
666	1417	707
667	1419	705
668	1421	703
669	1423	700
670	1424	698
671	1427	696
672	1429	694
673	1431	692
674	1433	690
675	1435	687
676	1437	685
677	1439	683
678	1441	681
679	1443	679
680	1445	676
681	1446	674
682	1448	672
683	1450	670
684	1452	667
685	1454	665
686	1456	663
687	1458	661
688	1460	659
689	1462	657
690	1464	654
691	1466	652
692	1468	650
693	1470	648
694	1472	646
695	1474	643
696	1476	641
697	1477	639
698	1480	637
699	1481	635
700	1483	632
701	1485	630
702	1487	628
703	1489	626
704	1491	624
705	1493	621
706	1496	620
707	1498	617
708	1499	615
709	1501	613
710	1503	611
711	1505	609
712	1507	606
713	1509	604
714	1511	602
715	1513	600
716	1515	598
717	1517	595
718	1519	593
719	1521	591
720	1523	589
721	1525	587
722	1527	585
723	1529	583
724	1531	581
725	1534	579
726	1537	577
727	1539	575
728	1541	572
729	1543	570
730	1545	568
731	1547	566
732	1549	564
733	1551	562
734	1553	560
735	1555	557
736	1557	555
737	1559	553
738	1561	551
739	1563	549
740	1565	547
741	1567	544
742	1569	542
743	1570	540
744	1573	538
745	1574	536
746	1577	534
747	1579	532
748	1581	529
749	1582	527
750	1584	525
751	1586	523
752	1588	521
753	1590	518
754	1592	516
755	1594	514
756	1596	512
757	1597	510
758	1599	507
759	1601	505
760	1603	503
761	1605	501
762	1607	499
763	1609	497
764	1611	494
765	1613	492
766	1615	490
767	1616	488
768	1618	486
769	1620	484
770	1622	481
771	1624	479
772	1626	477
773	1628	475
774	1630	473
775	1632	471
776	1634	469
777	1636	466
778	1638	464
779	1640	462
780	1642	460
781	1644	458
782	1645	456
783	1648	454
784	1649	451
785	1651	449
786	1653	447
787	1655	445
788	1657	443
789	1659	441
790	1662	439
791	1664	437
792	1666	434
793	1668	432
794	1670	430
795	1672	428
796	1674	426
797	1677	424
798	1679	422
799	1681	420
800	1683	418
801	1685	416
802	1688	414
803	1690	412
804	1693	410
805	1695	408
806	1697	405
807	1699	403
808	1701	401
809	1702	399
810	1704	397
811	1706	395
812	1708	392
813	1710	390
814	1712	388
815	1713	386
816	1716	384
817	1718	382
818	1720	380
819	1721	377
820	1722	375
821	1724	373
822	1726	371
823	1729	369
824	1731	367
825	1732	365
826	1734	362
827	1736	360
828	1738	358
829	1740	356
830	1742	354
831	1744	352
832	1746	350
833	1748	348
834	1750	345
835	1752	343
836	1754	341
837	1757	339
838	1760	337
839	1762	335
840	1764	333
841	1766	331
842	1768	329
843	1770	327
844	1772	325
845	1774	323
846	1776	320
847	1778	318
848	1780	316
849	1781	314
850	1784	312
851	1786	310
852	1787	308
853	1790	306
854	1792	304
855	1794	301
856	1796	299
857	1798	297
858	1801	295
859	1803	293
860	1805	291
861	1807	289
862	1809	287
863	1812	285
864	1814	283
865	1816	281
866	1818	278
867	1820	276
868	1822	274
869	1825	272
870	1827	270
871	1830	268
872	1832	266
873	1834	264
874	1836	262
875	1838	260
876	1840	258
877	1843	256
878	1846	254
879	1848	252
880	1850	249
881	1853	247
882	1855	245
883	1857	243
884	1859	241
885	1861	239
886	1863	237
887	1866	235
888	1868	233
889	1870	231
890	1872	229
891	1874	226
892	1876	224
893	1879	222
894	1881	220
895	1883	218
896	1886	216
897	1888	214
898	1890	212
899	1892	210
900	1894	208
901	1897	206
902	1899	204
903	1901	201
904	1904	199
905	1906	197
906	1909	195
907	1911	193
908	1913	191
909	1916	189
910	1918	187
911	1924	185
912	1926	183
913	1928	181
914	1930	179
915	1933	177
916	1935	175
917	1937	173
918	1940	170
919	1942	168
920	1944	166
921	1947	164
922	1949	162
923	1951	160
924	1954	158
925	1956	156
926	1958	154
927	1961	152
928	1963	150
929	1965	147
930	1968	145
931	1970	143
932	1972	141
933	1975	139
934	1977	137
935	1980	135
936	1982	133
937	1984	131
938	1986	129
939	1989	126
940	1991	124
941	1993	122
942	1996	120
943	1998	118
944	2001	116
945	2003	114
946	2005	112
947	2007	110
948	2010	108
949	2012	105
950	2015	103
951	2017	101
952	2020	99
953	2022	97
954	2024	95
955	2026	93
956	2029	91
957	2031	89
958	2033	86
959	2036	84
960	2038	82
961	2041	80
962	2043	78
963	2045	76
964	2047	74
965	2050	72
966	2052	70
967	2054	67
968	2057	65
969	2059	63
970	2061	61
971	2063	59
972	2066	57
973	2068	55
974	2070	53
975	2072	50
976	2074	48
977	2077	46
978	2079	44
979	2081	42
980	2084	40
981	2086	38
982	2088	36
983	2090	33
984	2092	31
985	2094	29
986	2097	27
987	2099	25
988	2101	23
989	2103	21
990	2105	19
991	2107	16
992	2109	14
993	2112	12
994	2114	10
995	2116	8
996	2119	6
997	2121	4
998	2123	2
999	2125	0
