iter	Logloss
0	0.6787679259
1	0.6661751678
2	0.6536809128
3	0.6399924416
4	0.6256061563
5	0.6102645387
6	0.5970074137
7	0.5831820124
8	0.5691461836
9	0.5577073275
10	0.5452067306
11	0.5324228089
12	0.521383575
13	0.5103215862
14	0.5003085587
15	0.4901297391
16	0.4802235492
17	0.4703545353
18	0.4600210133
19	0.449782797
20	0.4394092149
21	0.4311172516
22	0.4234004476
23	0.4147001316
24	0.4078115077
25	0.3988434214
26	0.3907262528
27	0.3839697401
28	0.3776875722
29	0.3712955008
30	0.3647160017
31	0.3580626262
32	0.35168471
33	0.3449043837
34	0.3393527457
35	0.3338199474
36	0.330079143
37	0.3238606573
38	0.3183164786
39	0.3128037299
40	0.3078620555
41	0.3042070758
42	0.3002821317
43	0.2952288425
44	0.2902624062
45	0.285543279
46	0.2809190131
47	0.2758043986
48	0.2707434437
49	0.2667624769
50	0.2625939318
51	0.2594623645
52	0.2555577889
53	0.2510556108
54	0.2464979269
55	0.2424356866
56	0.2402872084
57	0.2369476678
58	0.2346137448
59	0.2316770852
60	0.228201325
61	0.2252712223
62	0.2217916496
63	0.2184601404
64	0.2153377597
65	0.212258623
66	0.2098889281
67	0.2066288218
68	0.2040939116
69	0.2008014145
70	0.1974800711
71	0.1946958823
72	0.1921887406
73	0.1892404667
74	0.1866669868
75	0.1838441698
76	0.1817728566
77	0.1796010778
78	0.1773725885
79	0.1754156746
80	0.1736110753
81	0.1712415641
82	0.1693594908
83	0.1675851284
84	0.1658727257
85	0.1641930701
86	0.1621048619
87	0.1603667814
88	0.1584720468
89	0.1566211608
90	0.155299558
91	0.1534951584
92	0.1516527786
93	0.1502410064
94	0.1490161601
95	0.1475344616
96	0.1458200871
97	0.1448744615
98	0.1431967704
99	0.1417912875
100	0.1406061951
101	0.1393216268
102	0.1380499822
103	0.1369051018
104	0.1354801993
105	0.1341204814
106	0.1327374837
107	0.1316576946
108	0.1301885046
109	0.1287819273
110	0.1272215732
111	0.1261094019
112	0.1251269663
113	0.1240449877
114	0.1232338768
115	0.1221970933
